,Unnamed: 0,사업장명,업태구분명,상세영업상태명,도로명전체주소,진료과목내용명,소재지전화,병상수,의료인수,입원실수,총면적_scaler,경도,위도
4723,4723,노원 톡스앤필의원,의원,영업중,"서울특별시 노원구 노해로 488, 근호빌딩 3층 (상계동)",피부과,02-933-7585,0,2,0,0.0006645233278783,127.0592671908832,37.65432111856193
4724,4724,행복한제이피부과의원,의원,영업중,"서울특별시 노원구 노해로 494, 고려빌딩 4층 402,403,404,405호 (상계동)",피부과,02-937-8575,0,1,0,0.0005156071085525,127.06010842018412,37.6545113601108
4725,4725,화랑윤치과의원,치과의원,영업중,"서울특별시 노원구 노원로1길 67, 대덕프라자 301호 (공릉동)","구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과",02-974-8828,0,2,0,0.0003160655863496,127.08071207377668,37.6208108505228
4726,4726,클린업피부과의원,의원,영업중,"서울특별시 노원구 노해로 451, 청산빌딩 4층 (상계동)",피부과,556-9070,0,2,0,0.0004543671174864,127.05532755062148,37.65410128105844
4727,4727,하이키한의원,한의원,영업중,"서울특별시 노원구 노원로 449, 7층 (상계동)","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",02-935-1177,0,2,0,0.0003919761361347,127.06355378204304,37.65666731275432
4728,4728,연세안과의원,의원,영업중,"서울특별시 노원구 동일로 986, 101동 206호 (공릉동, 노원 프레미어스 엠코)",안과,02-555-1013,0,1,0,0.0002182131423907,127.07332887899456,37.61853183507096
4729,4729,성모척척마취통증의학과의원,의원,영업중,"서울특별시 노원구 덕릉로126길 2, 1층 101호 (상계동)","내과, 정형외과, 신경외과, 마취통증의학과, 재활의학과",02-952-1100,0,1,0,0.0004637394669544,127.07850820783688,37.670177502597866
4730,4730,상계우리치과의원,치과의원,영업중,"서울특별시 노원구 덕릉로126길 2, 102호 (상계동)","구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과, 통합치의학과",02-930-0007,0,1,0,0.0002991478561207,127.07850820783688,37.670177502597866
4731,4731,노원 아이디의원,의원,영업중,"서울특별시 노원구 노해로 455, 인산빌딩 7층전체층 (상계동)","내과, 피부과, 가정의학과",1855-0050,0,2,0,0.0005597649422061,127.0556422004719,37.654162141645806
4732,4732,아이디치과의원,치과의원,영업중,"서울특별시 노원구 동일로 1396, 중원빌딩 2층전체층 (상계동)","구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과",02-3496-5680,0,2,0,0.0005963956647859,127.05842425292968,37.65324389621256
4733,4733,설명한의원,한의원,영업중,"서울특별시 노원구 동일로 1350, 삼양빌딩 2층 202, 203호 (상계동)","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",0507-1359-7553,0,4,0,0.0002960785486925,127.05951749917804,37.64924750493674
4734,4734,휴킨스피부과의원,의원,영업중,"서울특별시 노원구 동일로204가길 34, 씨앤미복합빌딩 252호~260호 (중계동)",피부과,02-977-6447,0,1,0,0.0003627994458803,127.06534613940308,37.64074925355388
4735,4735,위대한내과의원,의원,영업중,"서울특별시 노원구 화랑로 325, 우현빌딩 2층 (월계동)","내과, 신경과, 정신건강의학과, 외과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 가정의학과",02-6964-8200,0,1,0,0.0002719991011313,127.06116123856415,37.61490731052992
