사업장명,병상수
연세필정신건강의학과의원,0
종로경치과의원,0
서울예다운치과의원,0
광화문치과의원,0
우행원신경정신과의원,0
뽀얀피부과의원,0
미래의원,0
뉴수도정형외과의원,24
사과나무치과의원,0
나온치과의원,0
메이플치과의원,0
서울리더스치과의원,0
한빛내과의원,0
타워비뇨기과의원,3
원화당한의원,0
큰나무정형외과의원,0
스템스치과의원,0
신일한의원,0
의료법인해정의료재단 해정의원,0
연세하나마취통증의학과의원,0
창덕궁한의원,0
광화문서울치과의원,0
안아픈세상삼선당한의원,0
박강석치과의원,0
닥터포유의원,0
종로위브의원,0
한빛산부인과의원,1
박민규이비인후과의원,1
참가정의학과의원,0
광화문하나이비인후과의원,0
향기나무한의원,0
강북서울외과의원,0
백민의원,0
예림이비인후과의원,0
연세아인의원,0
연세그랑스마일치과의원,0
대학로메리힐산부인과의원,0
라미에르의원,0
동대문경로치과의원,0
로엘심장혈관흉부외과의원,1
종로강남한의원,0
연세정신건강의학과의원,0
오광한의원,0
권안과의원,0
신영연세의원,0
들꽃한의원,0
시중한의원,0
입안에행복치과의원,0
이편한치과의원,0
이해박는집치과의원,0
이강한의원,0
장수한의원,0
종로연세의원,0
위강한의원,0
세종한의원,0
연세자세굿재활의학과의원,0
서촌정신건강의학과의원,0
당봄한의원,0
경희궁비뇨의학과의원,0
연세늘정신건강의학과의원,0
메디척정형외과의원,1
서울힐링의원,0
헤세드의원,0
진흥한의원,0
경희효전한의원,0
바이오엠재활의학과의원,0
세검정연세가정의학과의원,0
종로탑치과의원,0
세종치과의원,0
365광덕안정한의원,0
북촌소담정신건강의학과의원,0
구침가한의원,0
연세세브란스치과의원,0
경희꿈한의원,0
금비뇨기과의원,0
종로홍제한의원,0
광남한의원,0
종로아산본정형외과의원,0
서울귀한이비인후과의원,0
민앤정의원,0
서울36의원,0
쓰리에스의원,0
맥스웰피부과의원,0
종로연세이비인후과내과의원,1
박정형외과의원,0
서울락비뇨기과의원,0
서울바로치과의원,0
고려수내과의원,0
광화문숲정신건강의학과의원,0
일송정한의원,0
스마일마취통증의학과의원,0
